Date,Market,Crop,Price,Rainfall,Temperature
2023-01-01,Guntur,Rice,3139.92,3.41,34.57
2023-01-02,Guntur,Rice,3113.24,0.05,28.84
2023-01-03,Guntur,Rice,3145.37,0.61,20.66
2023-01-04,Guntur,Rice,3146.0,4.1,31.08
2023-01-05,Guntur,Rice,3166.81,2.8,35.56
2023-01-06,Guntur,Rice,3246.26,0.49,24.3
2023-01-07,Guntur,Rice,3235.01,1.82,26.72
2023-01-08,Guntur,Rice,3245.16,1.1,28.06
2023-01-09,Guntur,Rice,3253.8,3.57,26.26
2023-01-10,Guntur,Rice,3285.23,4.61,26.27
2023-01-11,Guntur,Rice,3305.43,2.76,23.19
2023-01-12,Guntur,Rice,3290.02,0.33,25.68
2023-01-13,Guntur,Rice,3324.62,3.84,27.82
2023-01-14,Guntur,Rice,3367.44,4.11,22.44
2023-01-15,Guntur,Rice,3372.37,3.6,36.0
2023-01-16,Guntur,Rice,3365.24,3.22,33.37
2023-01-17,Guntur,Rice,3383.4,3.39,32.73
2023-01-18,Guntur,Rice,3425.96,0.62,32.82
2023-01-19,Guntur,Rice,3386.24,1.16,32.03
2023-01-20,Guntur,Rice,3391.72,1.25,39.27
2023-01-21,Guntur,Rice,3394.07,4.98,28.4
2023-01-22,Guntur,Rice,3404.22,4.9,22.55
2023-01-23,Guntur,Rice,3415.15,2.65,36.64
2023-01-24,Guntur,Rice,3437.93,4.51,37.32
2023-01-25,Guntur,Rice,3469.11,3.5,35.88
2023-01-26,Guntur,Rice,3476.08,1.98,22.59
2023-01-27,Guntur,Rice,3480.73,0.33,28.64
2023-01-28,Guntur,Rice,3440.06,4.86,28.01
2023-01-29,Guntur,Rice,3431.52,4.19,29.49
2023-01-30,Guntur,Rice,3429.82,1.48,20.24
2023-01-31,Guntur,Rice,3450.16,4.86,19.76
2023-02-01,Guntur,Rice,3476.38,1.86,19.83
2023-02-02,Guntur,Rice,3474.1,2.52,32.13
2023-02-03,Guntur,Rice,3472.74,4.39,19.95
2023-02-04,Guntur,Rice,3497.22,2.36,26.99
2023-02-05,Guntur,Rice,3519.24,4.75,23.64
2023-02-06,Guntur,Rice,3533.97,2.23,19.31
2023-02-07,Guntur,Rice,3551.3,3.7,22.02
2023-02-08,Guntur,Rice,3555.0,3.11,30.02
2023-02-09,Guntur,Rice,3566.22,0.99,26.61
2023-02-10,Guntur,Rice,3579.48,0.36,19.87
2023-02-11,Guntur,Rice,3610.42,4.23,19.05
2023-02-12,Guntur,Rice,3645.05,2.42,27.61
2023-02-13,Guntur,Rice,3647.08,2.08,19.08
2023-02-14,Guntur,Rice,3665.81,4.29,35.78
2023-02-15,Guntur,Rice,3641.1,3.71,37.2
2023-02-16,Guntur,Rice,3642.93,2.32,21.63
2023-02-17,Guntur,Rice,3647.59,1.97,19.38
2023-02-18,Guntur,Rice,3660.43,3.99,26.43
2023-02-19,Guntur,Rice,3681.19,4.24,29.25
2023-02-20,Guntur,Rice,3704.8,2.04,24.48
2023-02-21,Guntur,Rice,3675.98,3.64,31.74
2023-02-22,Guntur,Rice,3678.41,3.98,20.4
2023-02-23,Guntur,Rice,3652.09,2.84,19.98
2023-02-24,Guntur,Rice,3677.61,0.06,24.31
2023-02-25,Guntur,Rice,3699.59,2.29,23.07
2023-02-26,Guntur,Rice,3687.09,0.63,38.49
2023-02-27,Guntur,Rice,3724.48,1.19,23.01
2023-02-28,Guntur,Rice,3761.81,0.37,26.34
2023-03-01,Guntur,Rice,3790.31,3.21,22.16
2023-03-02,Guntur,Rice,3791.34,1.58,28.56
2023-03-03,Guntur,Rice,3791.31,0.12,23.33
2023-03-04,Guntur,Rice,3803.99,3.98,29.09
2023-03-05,Guntur,Rice,3800.79,1.79,21.34
2023-03-06,Guntur,Rice,3804.71,4.82,35.81
2023-03-07,Guntur,Rice,3811.71,2.2,38.5
2023-03-08,Guntur,Rice,3822.08,1.67,25.8
2023-03-09,Guntur,Rice,3845.13,0.85,29.2
2023-03-10,Guntur,Rice,3846.99,2.46,35.76
2023-03-11,Guntur,Rice,3846.42,2.93,23.77
2023-03-12,Guntur,Rice,3857.15,0.72,30.65
2023-03-13,Guntur,Rice,3892.75,2.14,24.73
2023-03-14,Guntur,Rice,3920.57,0.37,34.84
2023-03-15,Guntur,Rice,3936.42,1.32,28.64
